File,Diaglog,Sentence,Ratio
.DS_Store,1,0,0.0
EN_100004.txt,268,1193,4.451492537313433
EN_100042.txt,272,1287,4.731617647058823
EN_100055.txt,240,1058,4.408333333333333
EN_100057.txt,169,736,4.355029585798817
EN_100083.txt,362,1631,4.505524861878453
EN_100087.txt,358,1765,4.930167597765363
EN_100101.txt,295,1466,4.969491525423729
EN_100102.txt,249,1230,4.9397590361445785
EN_100106.txt,435,2076,4.772413793103448
EN_100110.txt,358,1490,4.162011173184357
EN_100112.txt,267,1134,4.247191011235955
EN_100125.txt,261,1115,4.272030651340996
EN_100131.txt,181,796,4.397790055248619
EN_100132.txt,276,1340,4.855072463768116
EN_100137.txt,245,975,3.979591836734694
EN_100160.txt,200,884,4.42
EN_100161.txt,197,892,4.527918781725888
EN_100162.txt,210,969,4.614285714285714
EN_100163.txt,204,815,3.9950980392156863
EN_100173.txt,171,685,4.005847953216374
EN_100180.txt,135,556,4.118518518518519
EN_100187.txt,175,771,4.405714285714286
EN_100239.txt,179,818,4.569832402234637
EN_100240.txt,298,1209,4.057046979865772
EN_100251.txt,212,959,4.523584905660377
EN_100254.txt,222,1027,4.626126126126126
EN_100262.txt,362,1600,4.419889502762431
EN_100271.txt,238,1107,4.651260504201681
EN_100274.txt,256,1014,3.9609375
EN_100275.txt,289,1310,4.532871972318339
EN_100286.txt,245,1021,4.16734693877551
EN_100292.txt,147,629,4.27891156462585
EN_100293.txt,92,396,4.304347826086956
EN_100295.txt,154,671,4.357142857142857
EN_100309.txt,156,640,4.102564102564102
EN_100312.txt,258,1251,4.848837209302325
EN_100340.txt,164,858,5.2317073170731705
EN_100342.txt,172,832,4.837209302325581
EN_100343.txt,157,642,4.089171974522293
EN_100345.txt,133,614,4.616541353383458
EN_100348.txt,329,1450,4.407294832826747
EN_100357.txt,189,845,4.470899470899471
EN_100366.txt,308,1236,4.012987012987013
EN_100374.txt,257,1233,4.797665369649805
EN_100382.txt,154,613,3.9805194805194803
EN_100394.txt,288,1358,4.715277777777778
EN_100395.txt,287,1361,4.7421602787456445
EN_100403.txt,166,780,4.698795180722891
EN_100426.txt,180,852,4.733333333333333
EN_100432.txt,201,1067,5.308457711442786
EN_100435.txt,194,860,4.43298969072165
EN_100445.txt,171,833,4.871345029239766
EN_100476.txt,441,1839,4.170068027210885
EN_100486.txt,240,1157,4.820833333333334
EN_100492.txt,290,1167,4.024137931034483
EN_100495.txt,294,1268,4.312925170068027
EN_100496.txt,550,2206,4.010909090909091
EN_100498.txt,282,1297,4.599290780141844
EN_100512.txt,201,910,4.527363184079602
EN_100514.txt,269,1097,4.078066914498141
EN_100545.txt,236,945,4.004237288135593
EN_100573.txt,255,1173,4.6
EN_100576.txt,80,317,3.9625
EN_100578.txt,236,945,4.004237288135593
EN_100588.txt,276,1141,4.134057971014493
EN_100601.txt,227,944,4.158590308370044
EN_100609.txt,542,2256,4.162361623616236
EN_100614.txt,217,1097,5.055299539170507
EN_100623.txt,617,1122,1.8184764991896272
EN_100628.txt,278,1309,4.7086330935251794
EN_100638.txt,169,780,4.615384615384615
EN_100639.txt,251,1156,4.605577689243028
EN_100640.txt,250,1156,4.624
EN_100652.txt,259,1197,4.621621621621622
EN_100658.txt,255,1099,4.309803921568627
EN_100667.txt,273,1304,4.7765567765567765
EN_100673.txt,196,845,4.311224489795919
EN_100680.txt,84,361,4.2976190476190474
EN_100699.txt,303,1286,4.244224422442244
EN_100716.txt,209,895,4.282296650717703
EN_100717.txt,209,892,4.267942583732057
EN_100719.txt,284,1488,5.23943661971831
EN_100721.txt,183,940,5.136612021857924
EN_100724.txt,198,901,4.55050505050505
EN_100728.txt,194,907,4.675257731958763
EN_100729.txt,299,1416,4.735785953177258
EN_100739.txt,375,1759,4.690666666666667
EN_100741.txt,283,1190,4.204946996466431
EN_100746.txt,147,598,4.068027210884353
EN_100750.txt,355,1495,4.211267605633803
EN_100752.txt,433,1728,3.9907621247113165
EN_100755.txt,427,1705,3.9929742388758784
EN_100756.txt,299,1539,5.147157190635451
EN_100759.txt,299,1535,5.133779264214047
EN_100770.txt,358,1674,4.675977653631285
